File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes,Human_Label
p1_binsearch_v1.py,p1_binsearch_v2.py,1,0,1,1,1,1,1,0,"Both read n, sorted array and target and print the index or -1; iterative while-loop binary search vs recursive binary search - same algorithm with a substituted control structure (L5).",1
p7_mergelists_v2.py,p8_vowels_v2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_v2.py,p5_reverselist_v1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_v1.py,p4_sieve_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p5_reverselist_v1.py,p7_mergelists_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p7_mergelists_v2.py,p6_bfs_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_v1.py,p8_vowels_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_v2.py,p1_binsearch_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_v4.py,p3_gcd_v2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_v1.py,p7_mergelists_v1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_v2.py,p5_reverselist_v1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_v4.py,p1_binsearch_v1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_v4.py,p5_reverselist_v3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_v4.py,p9_transpose_v1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_v3.py,p5_reverselist_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_v1.py,p4_sieve_v1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_v2.py,p6_bfs_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_v2.py,p1_binsearch_v1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p6_bfs_v1.py,p8_vowels_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p4_sieve_v4.py,p1_binsearch_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_v1.py,p8_vowels_v3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p5_reverselist_v4.py,p7_mergelists_v2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_v2.py,p8_vowels_v1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p6_bfs_v2.py,p1_binsearch_v2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_v1.py,p1_binsearch_v4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p1_binsearch_v3.py,p6_bfs_v2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p8_vowels_v3.py,p7_mergelists_v3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
